func A,func B,A -> B,asked_LLM
"async def assert_response_bullet_list_format(response: str) -> bool:
    """"""
    Checks if the response is formatted as a bullet list.
    """"""
    return response.strip().startswith(""-"") and all(
        line.strip().startswith(""-"") for line in response.splitlines()
    )
","async def assert_bullet_list_correct_format(response: str) -> bool:
    """"""
    Verifies if the response is formatted as a bullet list with each bullet point following the
    format `key: value.`.
    """"""
    bullets = [line.strip() for line in response.split(""\n"") if line.strip()]
    return all(
        bullet.startswith(""- "") and "": "" in bullet and bullet.endswith(""."")
        for bullet in bullets
    )
",True,True
"async def assert_response_bullet_key_value_format(response: str) -> bool:
    """"""
    Checks if each bullet in the response is formatted with `key: value.`
    """"""
    bullets = [line.strip() for line in response.splitlines()]
    return all("":"" in bullet and bullet.endswith(""."") for bullet in bullets)
","async def assert_bullet_list_correct_format(response: str) -> bool:
    """"""
    Verifies if the response is formatted as a bullet list with each bullet point following the
    format `key: value.`.
    """"""
    bullets = [line.strip() for line in response.split(""\n"") if line.strip()]
    return all(
        bullet.startswith(""- "") and "": "" in bullet and bullet.endswith(""."")
        for bullet in bullets
    )
",True,True
"async def assert_bullet_list_correct_format(response: str) -> bool:
    """"""
    Verifies if the response is formatted as a bullet list with each bullet point following the
    format `key: value.`.
    """"""
    bullets = [line.strip() for line in response.split(""\n"") if line.strip()]
    return all(
        bullet.startswith(""- "") and "": "" in bullet and bullet.endswith(""."")
        for bullet in bullets
    )
","async def assert_response_bullet_key_value_format(response: str) -> bool:
    """"""
    Checks if each bullet in the response is formatted with `key: value.`
    """"""
    bullets = [line.strip() for line in response.splitlines()]
    return all("":"" in bullet and bullet.endswith(""."") for bullet in bullets)
",True,True
"async def assert_response_has_required_keys_with_na(response: str) -> bool:
    """"""
    Checks if the response contains the required keys with `N/A` for missing values.
    """"""
    required_keys = [
        ""chief complaint:"",
        ""history of present illness:"",
        ""physical examination:"",
        ""symptoms experienced by the patient:"",
        ""new medications prescribed or changed, including dosages:"",
        ""follow-up instructions:"",
    ]
    return all(key in response for key in required_keys) or ""N/A"" in response
","async def assert_inclusion_of_specific_keys(response: str) -> bool:
    """"""
    Checks if the response contains extracted values for specific keys: Chief complaint, History of present illness,
    Physical examination, Symptoms, New medications, and Follow-up instructions.
    """"""
    required_keys = [
        ""chief complaint:"",
        ""history of present illness:"",
        ""physical examination:"",
        ""symptoms experienced by the patient:"",
        ""new medications prescribed or changed, including dosages:"",
        ""follow-up instructions:"",
    ]
    return all(key in response for key in required_keys)
",True,True
"async def assert_inclusion_of_specific_keys(response: str) -> bool:
    """"""
    Checks if the response contains extracted values for specific keys: Chief complaint, History of present illness,
    Physical examination, Symptoms, New medications, and Follow-up instructions.
    """"""
    required_keys = [
        ""chief complaint:"",
        ""history of present illness:"",
        ""physical examination:"",
        ""symptoms experienced by the patient:"",
        ""new medications prescribed or changed, including dosages:"",
        ""follow-up instructions:"",
    ]
    return all(key in response for key in required_keys)
","async def assert_response_has_required_keys_with_na(response: str) -> bool:
    """"""
    Checks if the response contains the required keys with `N/A` for missing values.
    """"""
    required_keys = [
        ""chief complaint:"",
        ""history of present illness:"",
        ""physical examination:"",
        ""symptoms experienced by the patient:"",
        ""new medications prescribed or changed, including dosages:"",
        ""follow-up instructions:"",
    ]
    return all(key in response for key in required_keys) or ""N/A"" in response
",True,True
"async def assert_no_pii_in_response(response: str) -> bool:
    """"""
    Checks if the response does not contain any personal identifiable information (PII).
    """"""
    pii_keywords = [""name"", ""age"", ""gender"", ""ID""]
    return not any(pii in response for pii in pii_keywords)
","async def assert_no_pii_present(response: str) -> bool:
    """"""
    Verifies that no personal identifiable information (PII) is present in the response.
    """"""
    return await ask_llm(
        response,
        f""In the response, is there any personal identifiable information (PII) such as name, age, gender, or ID?"",
    )
",True,True
"async def assert_no_pii_present(response: str) -> bool:
    """"""
    Verifies that no personal identifiable information (PII) is present in the response.
    """"""
    return await ask_llm(
        response,
        f""In the response, is there any personal identifiable information (PII) such as name, age, gender, or ID?"",
    )
","async def assert_no_pii_in_response(response: str) -> bool:
    """"""
    Checks if the response does not contain any personal identifiable information (PII).
    """"""
    pii_keywords = [""name"", ""age"", ""gender"", ""ID""]
    return not any(pii in response for pii in pii_keywords)
",True,True
"async def assert_na_usage_for_missing_data(response: str) -> bool:
    """"""
    Checks if 'N/A' is used appropriately for data points that are not available.
    """"""
    response = response.lower()
    is_meds_present = ""new medications prescribed or changed"" in response
    is_followup_present = ""follow-up instructions"" in response

    meds_index = response.find(""new medications prescribed or changed"")
    followup_index = response.find(""follow-up instructions"")

    check_meds = (
        ""n/a"" in response[meds_index : response.find(""\n"", meds_index)]
        if not is_meds_present
        else True
    )
    check_followup = (
        ""n/a"" in response[followup_index : response.find(""\n"", followup_index)]
        if not is_followup_present
        else True
    )

    return check_meds and check_followup
","async def assert_explicit_na_if_no_meds_changed(response: str) -> bool:
    """"""
    Checks if the response explicitly states 'N/A' for dosages when no new medications are prescribed or changed.
    """"""
    if ""new medications prescribed or changed"" not in response.lower():
        return ""n/a"" in response.lower()
    return True  # Should return true if the segment is present, to not be consequential
",True,True
"async def assert_na_usage_for_missing_data(response: str) -> bool:
    """"""
    Checks if 'N/A' is used appropriately for data points that are not available.
    """"""
    response = response.lower()
    is_meds_present = ""new medications prescribed or changed"" in response
    is_followup_present = ""follow-up instructions"" in response

    meds_index = response.find(""new medications prescribed or changed"")
    followup_index = response.find(""follow-up instructions"")

    check_meds = (
        ""n/a"" in response[meds_index : response.find(""\n"", meds_index)]
        if not is_meds_present
        else True
    )
    check_followup = (
        ""n/a"" in response[followup_index : response.find(""\n"", followup_index)]
        if not is_followup_present
        else True
    )

    return check_meds and check_followup
","async def assert_explicit_na_if_no_follow_up(response: str) -> bool:
    """"""
    Checks if the response explicitly states 'N/A' for follow-up instructions when no follow-up details are provided.
    """"""
    if ""follow-up instructions"" not in response.lower():
        return ""n/a"" in response.lower()
    return True  # Should return true if the segment is present, to not be consequential
",True,True
"async def assert_explicit_na_if_no_meds_changed(response: str) -> bool:
    """"""
    Checks if the response explicitly states 'N/A' for dosages when no new medications are prescribed or changed.
    """"""
    if ""new medications prescribed or changed"" not in response.lower():
        return ""n/a"" in response.lower()
    return True  # Should return true if the segment is present, to not be consequential
","async def assert_na_usage_for_missing_data(response: str) -> bool:
    """"""
    Checks if 'N/A' is used appropriately for data points that are not available.
    """"""
    response = response.lower()
    is_meds_present = ""new medications prescribed or changed"" in response
    is_followup_present = ""follow-up instructions"" in response

    meds_index = response.find(""new medications prescribed or changed"")
    followup_index = response.find(""follow-up instructions"")

    check_meds = (
        ""n/a"" in response[meds_index : response.find(""\n"", meds_index)]
        if not is_meds_present
        else True
    )
    check_followup = (
        ""n/a"" in response[followup_index : response.find(""\n"", followup_index)]
        if not is_followup_present
        else True
    )

    return check_meds and check_followup
",True,True
"async def assert_explicit_na_if_no_follow_up(response: str) -> bool:
    """"""
    Checks if the response explicitly states 'N/A' for follow-up instructions when no follow-up details are provided.
    """"""
    if ""follow-up instructions"" not in response.lower():
        return ""n/a"" in response.lower()
    return True  # Should return true if the segment is present, to not be consequential
","async def assert_na_usage_for_missing_data(response: str) -> bool:
    """"""
    Checks if 'N/A' is used appropriately for data points that are not available.
    """"""
    response = response.lower()
    is_meds_present = ""new medications prescribed or changed"" in response
    is_followup_present = ""follow-up instructions"" in response

    meds_index = response.find(""new medications prescribed or changed"")
    followup_index = response.find(""follow-up instructions"")

    check_meds = (
        ""n/a"" in response[meds_index : response.find(""\n"", meds_index)]
        if not is_meds_present
        else True
    )
    check_followup = (
        ""n/a"" in response[followup_index : response.find(""\n"", followup_index)]
        if not is_followup_present
        else True
    )

    return check_meds and check_followup
",True,True
"async def assert_adherence_to_formal_clinical_tone(response: str) -> bool:
    """"""
    Checks if the response maintains a formal and clinical tone appropriate for medical record analysis.
    """"""
    question = ""Does the response maintain a formal and clinical tone appropriate for medical record analysis?""
    return await ask_llm(response, question)
","async def assert_neutral_clinical_tone(response: str) -> bool:
    """"""
    Determines if the tone of the response is neutral, professional, and objective.
    """"""
    question = ""Is the tone of the response neutral, professional, and objective?""
    return await ask_llm(response, question)
",True,True
