,func A,func B,A -> B,asked_LLM
0,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_follows_review_format_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response follows a specific format resembling a code review,
    which includes a title, author mention, gratitude, and listed improvements.
    """"""
    response_lines = response.split(""\n"")
    has_title = any(""Title:"" in line for line in response_lines)
    has_author = example[""author""] in response
    has_gratitude = ""thank you"" in response.lower() or ""thanks"" in response.lower()
    has_improvements = ""Improvements:"" in response or ""improvement:"" in response.lower()

    return has_title and has_author and has_gratitude and has_improvements
",False,False
1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_examples_of_improvement_follow_code_conventions_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the examples of improvements in the response follow the code conventions
    of the language (Python in this case), checking for syntax correctness.
    """"""
    # Example Python code to check for syntax errors in response
    try:
        exec(response)
    except SyntaxError:
        return False
    return True
",False,False
2,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_adheres_to_workflow_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check that the response adheres to the workflow of discussing only the code in the diff,
    with no assumptions or extrapolations outside of the provided code segment.
    """"""
    question = ""Does the response adhere to the workflow by discussing the code diff without making assumptions about the unseen code?""
    return await ask_llm(prompt, response, question)
",False,False
3,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_recognition_of_code_conventions_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check that the response includes recognition of the coding conventions, such as the use of snake_case for function names in Python.
    """"""
    question = ""Does the response recognize and adhere to the code conventions of Python, including proper naming and style?""
    return await ask_llm(prompt, response, question)
",False,False
4,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_exclusion_of_speculation_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check that the response does not include speculations or assumptions about the parts of the code that are not visible in the diff.
    """"""
    question = ""Does the response avoid making speculations or assumptions about the unseen parts of the code?""
    return await ask_llm(prompt, response, question)
",True,True
5,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_is_personal_and_grateful_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response demonstrates a personal touch and shows gratitude towards the author of the pull request.
    """"""
    is_personal = example[""author""] in response
    shows_gratitude = (
        ""thank you"" in response.lower() or ""gratitude:"" in response.lower()
    )
    return is_personal and shows_gratitude
",False,False
6,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_is_concise_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response is concise and to the point, without unnecessary elaboration.
    """"""
    question = ""Is the LLM response concise and to the point?""
    return await ask_llm(prompt, response, question)
",True,True
7,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_includes_code_review_v1(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response includes a code review of the changes fetched
    via the get_diff function.
    """"""
    code_review_present = ""Review:"" in response or ""Improvement:"" in response
    return code_review_present
",False,False
8,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_includes_improvements_v1(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response answers on what can be improved and provides the
    improvement in code.
    """"""
    contains_improvement = ""Improvement:"" in response
    return contains_improvement
",False,False
9,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_is_brief_v1(example: dict, prompt: str, response: str):
    """"""
    Assess if the response possesses a certain brevity as verbose commentary is discouraged.
    """"""
    question = ""Is the review in the response brief and to the point without unnecessary verbosity?""
    return await ask_llm(prompt, response, question)
",True,True
