func A,func B,A -> B,asked_LLM
"async def assert_structured_format_followed_1(
    example: dict, prompt: str, response: str
) -> bool:
    required_headers = [
        ""Subject Line"",
        ""Body"",
        ""Pain"",
        ""Agitate"",
        ""Solution"",
        ""Sub-Closing"",
        ""Closing"",
        ""Salutation Format"",
    ]
    return all(header in response for header in required_headers)
","async def assert_workflow_followed_2(example: dict, prompt: str, response: str) -> bool:
    question = ""Does the response include an introduction of a problem, elaboration on the problem, a presented solution, encouragement for the user, and a salutation?""
    return await ask_llm(prompt, response, question)
",True,True
"async def assert_placeholder_elements_included_3(
    example: dict, prompt: str, response: str
) -> bool:
    return (f""{example['topic']}"" in response) and (f""{example['context']}"" in response)
","async def assert_includes_placeholders_10(example: dict, prompt: str, response: str):
    return ""[topic]"" in response and ""[context]"" in response
",True,True
"async def assert_includes_placeholders_10(example: dict, prompt: str, response: str):
    return ""[topic]"" in response and ""[context]"" in response
","async def assert_placeholder_elements_included_3(
    example: dict, prompt: str, response: str
) -> bool:
    return (f""{example['topic']}"" in response) and (f""{example['context']}"" in response)
",True,True
"async def assert_has_specific_headers_9(example: dict, prompt: str, response: str):
    headers = [
        ""Pain:"",
        ""Agitate:"",
        ""Solution:"",
        ""Sub-Closing:"",
        ""Closing:"",
        ""Call to Action:"",
    ]
    return all(header in response for header in headers)
","async def assert_proper_ending_with_cta_4(
    example: dict, prompt: str, response: str
) -> bool:
    question = ""Does the response end with a call to action, a sub-closing, a closing, and a formal salutation?""
    return await ask_llm(prompt, response, question)
",True,True
"async def assert_word_count_within_limit_5(
    example: dict, prompt: str, response: str
) -> bool:
    max_word_count = example[""word_count""]
    word_count_response = len(response.split())
    return word_count_response <= max_word_count
","async def assert_correct_length_20(example: dict, prompt: str, response: str):
    word_count = example[""word_count""]
    response_word_count = len(response.split())
    return response_word_count <= int(word_count)
",True,True
"async def assert_correct_length_20(example: dict, prompt: str, response: str):
    word_count = example[""word_count""]
    response_word_count = len(response.split())
    return response_word_count <= int(word_count)
","async def assert_word_count_within_limit_5(
    example: dict, prompt: str, response: str
) -> bool:
    max_word_count = example[""word_count""]
    word_count_response = len(response.split())
    return word_count_response <= max_word_count
",True,True
"async def assert_workflow_follows_ordered_steps_11(
    example: dict, prompt: str, response: str
):
    workflow_steps = [""Pain"", ""Agitate"", ""Solution"", ""Sub-Closing"", ""Closing""]
    workflow_indices = [response.find(step) for step in workflow_steps]
    return all(
        workflow_indices[i] < workflow_indices[i + 1]
        for i in range(len(workflow_indices) - 1)
    )
","async def assert_structured_format_followed_1(
    example: dict, prompt: str, response: str
) -> bool:
    required_headers = [
        ""Subject Line"",
        ""Body"",
        ""Pain"",
        ""Agitate"",
        ""Solution"",
        ""Sub-Closing"",
        ""Closing"",
        ""Salutation Format"",
    ]
    return all(header in response for header in required_headers)
",True,True
"async def assert_minimum_core_components_present_12(
    example: dict, prompt: str, response: str
):
    sections = [
        ""Pain:"",
        ""Agitate:"",
        ""Solution:"",
        ""Sub-Closing:"",
        ""Aim"",
        ""Closing:"",
        ""Salutation Format"",
    ]
    return len([section for section in sections if section in response]) >= 7
","async def assert_workflow_followed_2(example: dict, prompt: str, response: str) -> bool:
    question = ""Does the response include an introduction of a problem, elaboration on the problem, a presented solution, encouragement for the user, and a salutation?""
    return await ask_llm(prompt, response, question)
",True,True
"async def assert_has_specific_headers_9(example: dict, prompt: str, response: str):
    headers = [
        ""Pain:"",
        ""Agitate:"",
        ""Solution:"",
        ""Sub-Closing:"",
        ""Closing:"",
        ""Call to Action:"",
    ]
    return all(header in response for header in headers)
","async def assert_structured_format_followed_1(
    example: dict, prompt: str, response: str
) -> bool:
    required_headers = [
        ""Subject Line"",
        ""Body"",
        ""Pain"",
        ""Agitate"",
        ""Solution"",
        ""Sub-Closing"",
        ""Closing"",
        ""Salutation Format"",
    ]
    return all(header in response for header in required_headers)
",True,True
"async def assert_has_specific_headers_9(example: dict, prompt: str, response: str):
    headers = [
        ""Pain:"",
        ""Agitate:"",
        ""Solution:"",
        ""Sub-Closing:"",
        ""Closing:"",
        ""Call to Action:"",
    ]
    return all(header in response for header in headers)
","async def assert_workflow_follows_ordered_steps_11(
    example: dict, prompt: str, response: str
):
    workflow_steps = [""Pain"", ""Agitate"", ""Solution"", ""Sub-Closing"", ""Closing""]
    workflow_indices = [response.find(step) for step in workflow_steps]
    return all(
        workflow_indices[i] < workflow_indices[i + 1]
        for i in range(len(workflow_indices) - 1)
    )
",True,True
