func A,func B,A -> B,asked_LLM
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_includes_context(example: dict, prompt: str, response: str):
    """"""
    Check if the response includes context at the beginning with the title, speaker/author,
    and overarching theme.
    """"""
    return ""Title:"" in response and ""Speaker:"" in response and ""Subject:"" in response
",False,False
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_lists_key_points_with_bullets(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response lists 3-5 key points using bullet points.
    """"""
    key_points_start = response.find(""Key Points:"")
    key_points_end = response.find(""Central Thesis:"", key_points_start)
    key_points_text = response[key_points_start:key_points_end].strip()

    if key_points_start == -1 or key_points_end == -1:
        return False

    bullet_points = key_points_text.count(
        ""-""
    )  # Assume bullet points are marked with hyphens
    return 3 <= bullet_points <= 5
",False,False
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_includes_significant_details(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response includes significant details that support the key points.
    """"""
    return ""Significant Details:"" in response
",False,False
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_summarizes_implications(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response summarizes the overall implications and actionable insights.
    """"""
    return ""Conclusions and Takeaways:"" in response
",True,True
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_mentions_personal_insights(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response briefly mentions personal insights or criticisms and is clearly
    marked as not part of the original content.
    """"""
    return ""Personal Insights or Criticisms:"" in response
",False,False
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_word_count_within_limits(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response is within the 200-400 word count range.
    """"""
    word_count = len(response.split())
    return 200 <= word_count <= 400
",False,False
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_excludes_text_outside_content(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response excludes any text outside the provided original content.
    """"""
    outside_text = example[""text""]
    return outside_text not in response
",True,True
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_includes_relevant_dates_and_settings(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response includes relevant dates and settings if applicable.
    """"""
    # This is a bit trickier since the presence of dates and settings can highly vary.
    # Let's ask the LLM to validate whether the response correctly includes or excludes
    # dates and settings based on context from the example.
    question = ""Does the response include the relevant dates and settings, if they were applicable?""
    return await ask_llm(prompt, response, question)
",False,False
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_clear_distinction_between_content_and_insights(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response upholds a clear distinction between original content and personal
    insights or criticisms.
    """"""
    insights_section_start = response.find(""Personal Insights or Criticisms:"")
    if insights_section_start == -1:
        return False
    insights_section = response[insights_section_start:]
    return (
        ""*Be very clear this is not a part of the original content.*""
        in insights_section
    )
",False,False
"async def assert_response_begins_with_outline(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response begins with an outline planning the execution of the summary.
    """"""
    return response.strip().startswith(""Title:"") or response.strip().startswith(
        ""Outline:""
    )
","async def assert_response_structure_for_usefulness_and_clarity(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response ensures that the requested structure is followed for usefulness and clarity.
    """"""
    required_sections = [
        ""Title:"",
        ""Speaker:"",
        ""Subject:"",
        ""Key Points:"",
        ""Central Thesis:"",
        ""Significant Details:"",
        ""Conclusions and Takeaways:"",
        ""Personal Insights or Criticisms:"",
    ]
    for section in required_sections:
        if section not in response:
            return False
    return True
",False,False
