func A,func B,A -> B,asked_LLM
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def ensure_all_headers_included(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes specified headers: Executive Summary,
    Negotiation Strategy, Supplier Summary, Product Summary,
    Market Insights, Risks and Opportunities, and Potential Questions.
    """"""
    required_headers = [
        ""Executive Summary"",
        ""Negotiation Strategy"",
        ""Supplier Summary"",
        ""Product Summary"",
        ""Market Insights"",
        ""Risks and Opportunities"",
        ""Potential Questions"",
    ]
    return all(header in response for header in required_headers)
",False,True
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def validate_structured_negotiation_process(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check that the response reflects an outlined structured process
    for creating the negotiation strategy.
    """"""
    section = ""# Negotiation Strategy:""
    start = response.find(section)
    if start == -1:
        return False

    strategy_content = response[start + len(section) :].strip()
    return any(
        keyword in strategy_content
        for keyword in [""Key objectives"", ""Targets"", ""Fallback positions""]
    )
",False,False
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def check_for_placeholder_inclusion(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Verify if all the provided placeholders are included in the response.
    """"""
    placeholders = [
        ""{ideal_outcome}"",
        ""{suppliers}"",
        ""{product_service_type}"",
        ""{current_standing}"",
        ""{purchasing_volume_dollars}"",
        ""{target_price_reduction}"",
        ""{other_factors}"",
    ]
    return all(
        placeholder.replace(""{"", """").replace(""}"", """") in response
        for placeholder in placeholders
    )
",False,False
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def ensure_no_extra_sections(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response does not contain any headers or sections not listed in the prompt template.
    """"""
    extraneous_sections = [
        ""# Background:"",
        ""# Introduction:"",
        ""# Conclusion:"",
        ""# Summary:"",
        ""# Analysis:"",
        ""# Discussion:"",
        ""# Recommendations:"",
    ]
    return not any(section in response for section in extraneous_sections)
",False,True
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def assess_language_clarity_and_adaptability(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Ask the LLM if the response is written in simple, clear language,
    and remains adaptive and flexible to other factors like market volatility and technological advancements.
    """"""
    question = (
        ""Is the response written in simple and clear language that is easy to read, ""
        ""and does it show an adaptive and flexible approach to factors like market volatility and ""
        ""technological advancements?""
    )
    return await ask_llm(prompt, response, question)
",False,True
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def evaluate_understanding_of_supplier_relations(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Ask the LLM if the response reflects an understanding of the relationship with suppliers and how purchasing volume affects bargaining power.
    """"""
    question = (
        ""Does the response reflect an understanding of the company's relationship with the suppliers, ""
        ""emphasizing prior outcomes and experiences, and detail how purchasing volume affects bargaining power?""
    )
    return await ask_llm(prompt, response, question)
",False,False
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def validate_target_price_focus(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Ask the LLM if the response aims for the target price reduction specified
    and includes the requested header content format for each specified section.
    """"""
    question = (
        ""Does the response aim for the target price reduction specified, and does it ""
        ""include the requested header content format for each specified section?""
    )
    return await ask_llm(prompt, response, question)
",False,False
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def examine_strategy_consistency_and_completeness(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Ask the LLM if the response is consistent with the inputs provided,
    reflecting completeness and coherence in strategy.
    """"""
    question = ""Is the response consistent with the provided inputs, showing a complete and coherent strategy?""
    return await ask_llm(prompt, response, question)
",False,False
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def assert_detailed_strategy(example: dict, prompt: str, response: str):
    """"""
    Check if the response includes a detailed strategy that considers the ideal outcome,
    suppliers, product or service type, and current standing with the suppliers.
    """"""
    required_elements = [
        ""ideal outcome"",
        ""suppliers"",
        ""product_service_type"",
        ""current_standing"",
    ]
    return all(element in response for element in required_elements)
",False,False
"async def verify_markdown_headers(example: dict, prompt: str, response: str) -> bool:
    """"""
    Check if the response employs markdown notation for headers.
    """"""
    return all(
        header in response
        for header in (
            ""# Executive Summary:"",
            ""# Negotiation Strategy:"",
            ""# Supplier Summary:"",
            ""# Product Summary:"",
            ""# Market Insights:"",
            ""# Risks and Opportunities:"",
            ""# Potential Questions:"",
        )
    )
","async def assert_workflow_followed(example: dict, prompt: str, response: str):
    """"""
    Check if the response follows the specified workflow: researching the supplier,
    scraping information from the internet, thinking critically about additional searches,
    and not exceeding three iterations.
    """"""
    question = ""Does the response follow the specified workflow including research, scraping, critical thinking about additional searches, and does it assure not to exceed three iterations?""
    return await ask_llm(prompt, response, question)
",False,False
