prompt_template,response,func_a,func_b,func_a_src,func_b_src,result
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_exclusion_of_speculation_v1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_exclusion_of_speculation_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check that the response does not include speculations or assumptions about the parts of the code that are not visible in the diff.
    """"""
    question = ""Does the response avoid making speculations or assumptions about the unseen parts of the code?""
    return await ask_llm(prompt, response, question)
",True
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_response_is_concise_v1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_is_concise_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response is concise and to the point, without unnecessary elaboration.
    """"""
    question = ""Is the LLM response concise and to the point?""
    return await ask_llm(prompt, response, question)
",True
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_response_is_brief_v1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_is_brief_v1(example: dict, prompt: str, response: str):
    """"""
    Assess if the response possesses a certain brevity as verbose commentary is discouraged.
    """"""
    question = ""Is the review in the response brief and to the point without unnecessary verbosity?""
    return await ask_llm(prompt, response, question)
",True
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_response_does_not_require_full_code_v1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_response_does_not_require_full_code_v1(
    example: dict, prompt: str, response: str
):
    """"""
    Verify that the response does not indicate a need for access to the full code.
    """"""
    question = (
        ""Does the response provide a review without requiring access to the full code?""
    )
    return await ask_llm(prompt, response, question)
",True
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_review_based_on_workflow_v1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_review_based_on_workflow_v1(example: dict, prompt: str, response: str):
    """"""
    Confirm that the response indicates that the review process was based on the workflow described in the template.
    """"""
    # Since the workflow description does not directly reflect in the output, we ask the LLM.
    question = (
        ""Was the review in the response based on the workflow described in the prompt?""
    )
    return await ask_llm(prompt, response, question)
",True
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_clear_professional_language_v1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_clear_professional_language_v1(
    example: dict, prompt: str, response: str
):
    """"""
    Check that the response is professional, clear, and without unnecessary jargon or overly complex vocabulary.
    """"""
    question = ""Is the response professional, clear, and without unnecessary jargon or overly complex vocabulary?""
    return await ask_llm(prompt, response, question)
",False
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_consistency_with_tasks_and_instructions,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_consistency_with_tasks_and_instructions(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response is consistent with the given tasks and instructions provided.
    """"""
    question = ""Is the response consistent with the tasks and instructions provided in the prompt template?""
    return await ask_llm(prompt, response, question)
",True
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_includes_code_improvement_v2,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_includes_code_improvement_v2(
    example: dict, prompt: str, response: str
):
    """"""
    Check that the response includes suggestions for code improvements.
    """"""
    question = ""Does the response include suggestions for code improvements?""
    return await ask_llm(prompt, response, question)
",True
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_respects_information_limitation_v1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_respects_information_limitation_v1(
    example: dict, prompt: str, response: str
):
    """"""
    Check that the response respects the limitation of information
    and does not refer to non-available parts of the code.
    """"""
    question = ""Does the response correctly avoid referring to non-available parts of the code?""
    return await ask_llm(prompt, response, question)
",True
"You are an AI Assistant that’s an expert at reviewing pull requests. Review the below pull request that you receive. 

Input format
- The input format follows Github diff format with addition and subtraction of code.
- The + sign means that code has been added.
- The - sign means that code has been removed.

Instructions
- Take into account that you don’t have access to the full code but only the code diff.
- Only answer on what can be improved and provide the improvement in code. 
- Answer in short form. 
- Include code snippets if necessary.
- Adhere to the languages code conventions.
- Make it personal and always show gratitude to the author using ""@"" when tagging.



{pr_webhook_payload}","Thank you for your contribution, @pythonDev! The Calculator class is a great start for basic arithmetic operations. Here's a bit of feedback to enhance the class:

1. To adhere to Python's code conventions, method parameters should be named using `lowercase_with_underscores`.
2. Instead of storing the result as a state within the class, consider returning the result directly. This avoids side effects and makes methods idempotent.
3. For the `divide` method, it's good that you're checking for division by zero. However, it would be more Pythonic to not explicitly check and let Python raise the `ZeroDivisionError`.

Here's an improved version of your code incorporating these suggestions:

```python
class Calculator:
    def __init__(self):
        pass  # No need to initialize result to 0 if we're not storing state.

    def add(self, num_1, num_2):
        return num_1 + num_2

    def subtract(self, num_1, num_2):
        return num_1 - num_2

    def multiply(self, num_1, num_2):
        return num_1 * num_2

    def divide(self, num_1, num_2):
        return num_1 / num_2  # Let Python handle ZeroDivisionError.
    
    def clear(self):  # This method could be removed if we're not keeping state.
        pass  # If keeping state, resetting would be: self.result = 0
```

Appreciate the work, and looking forward to the update!",assert_includes_code_improvements_v1,assert_contains_brief_answers_v1,"async def assert_includes_code_improvements_v1(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check if the response includes code improvement suggestions.
    """"""
    # It's expected that the response must contain the word ""improvement"" or modifications in the code snippet
    improvements_keywords = [""improvement"", ""improve"", ""refactor""]
    return any(keyword in response for keyword in improvements_keywords)
","async def assert_contains_brief_answers_v1(example: dict, prompt: str, response: str):
    """"""
    Check that the response contains brief answers.
    """"""
    question = ""Is the response brief and to the point without unnecessary elaboration?""
    return await ask_llm(prompt, response, question)
",True
