prompt_template,response,func_a,func_b,func_a_src,func_b_src,result
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_as_markdown_format,assert_absence_of_follow_along_in_name,"async def assert_as_markdown_format(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response is in markdown format.
    """"""
    patterns = [
        r""^#{1,6}\s"",  # Header
        r""^\s*[-*]\s"",  # Unordered list
        r""^\s*\d+\.\s"",  # Ordered list
        r""\[.+\]\(.+\)"",  # Link
        r""\*\*.+\*\*"",  # Bold text
        r""\*.+\*"",  # Italic text
        r""`[^`]+`"",  # Inline code
        r""^```\n[\s\S]*?\n```"",  # Fenced code block
    ]

    # Check if any pattern matches
    for pattern in patterns:
        if re.search(pattern, response, re.MULTILINE):
            return True

    return False
","async def assert_absence_of_follow_along_in_name(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the 'follow along' text is removed from the routine name.
    """"""
    return ""follow along"" not in response.split(""\n"", 1)[0].lower()
",False
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_as_markdown_format,assert_equipment_section_existence,"async def assert_as_markdown_format(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response is in markdown format.
    """"""
    patterns = [
        r""^#{1,6}\s"",  # Header
        r""^\s*[-*]\s"",  # Unordered list
        r""^\s*\d+\.\s"",  # Ordered list
        r""\[.+\]\(.+\)"",  # Link
        r""\*\*.+\*\*"",  # Bold text
        r""\*.+\*"",  # Italic text
        r""`[^`]+`"",  # Inline code
        r""^```\n[\s\S]*?\n```"",  # Fenced code block
    ]

    # Check if any pattern matches
    for pattern in patterns:
        if re.search(pattern, response, re.MULTILINE):
            return True

    return False
","async def assert_equipment_section_existence(example: dict, prompt: str, response: str):
    """"""
    Check if there is a separate equipment section in the response.
    """"""
    if ""## Equipment"" not in response:
        return False
    equipment_section_index = response.index(""## Equipment"")
    return response[equipment_section_index:].count(""\n"") > 1
",False
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_as_markdown_format,assert_completeness_and_correctness_of_response,"async def assert_as_markdown_format(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response is in markdown format.
    """"""
    patterns = [
        r""^#{1,6}\s"",  # Header
        r""^\s*[-*]\s"",  # Unordered list
        r""^\s*\d+\.\s"",  # Ordered list
        r""\[.+\]\(.+\)"",  # Link
        r""\*\*.+\*\*"",  # Bold text
        r""\*.+\*"",  # Italic text
        r""`[^`]+`"",  # Inline code
        r""^```\n[\s\S]*?\n```"",  # Fenced code block
    ]

    # Check if any pattern matches
    for pattern in patterns:
        if re.search(pattern, response, re.MULTILINE):
            return True

    return False
","async def assert_completeness_and_correctness_of_response(
    example: dict, prompt: str, response: str
):
    """"""
    Check the response for correctness and completeness, including summaries, equipment, and exercise lists.
    """"""
    question = ""Does the response include a complete and correct summary, equipment list, and exercises list while adhering to the specified format?""
    return await ask_llm(prompt, response, question)
",False
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_as_markdown_format,assert_presence_headers_summary_equipment_exercises,"async def assert_as_markdown_format(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response is in markdown format.
    """"""
    patterns = [
        r""^#{1,6}\s"",  # Header
        r""^\s*[-*]\s"",  # Unordered list
        r""^\s*\d+\.\s"",  # Ordered list
        r""\[.+\]\(.+\)"",  # Link
        r""\*\*.+\*\*"",  # Bold text
        r""\*.+\*"",  # Italic text
        r""`[^`]+`"",  # Inline code
        r""^```\n[\s\S]*?\n```"",  # Fenced code block
    ]

    # Check if any pattern matches
    for pattern in patterns:
        if re.search(pattern, response, re.MULTILINE):
            return True

    return False
","async def assert_presence_headers_summary_equipment_exercises(
    example: dict, prompt: str, response: str
):
    """"""
    Check if the response contains specific headers 'Summary', 'Equipment', and 'Exercises'.
    """"""
    required_headers = [""## Summary"", ""## Equipment"", ""## Exercises""]
    return all(header in response for header in required_headers)
",False
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_name_present_in_routine,assert_as_markdown_format,"async def assert_name_present_in_routine(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response contains a section about the name of the routine.
    """"""
    return f""### \""{example['vid_name']}\"" Routine:"" in response
","async def assert_as_markdown_format(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response is in markdown format.
    """"""
    patterns = [
        r""^#{1,6}\s"",  # Header
        r""^\s*[-*]\s"",  # Unordered list
        r""^\s*\d+\.\s"",  # Ordered list
        r""\[.+\]\(.+\)"",  # Link
        r""\*\*.+\*\*"",  # Bold text
        r""\*.+\*"",  # Italic text
        r""`[^`]+`"",  # Inline code
        r""^```\n[\s\S]*?\n```"",  # Fenced code block
    ]

    # Check if any pattern matches
    for pattern in patterns:
        if re.search(pattern, response, re.MULTILINE):
            return True

    return False
",True
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_name_present_in_routine,assert_name_without_follow_along,"async def assert_name_present_in_routine(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response contains a section about the name of the routine.
    """"""
    return f""### \""{example['vid_name']}\"" Routine:"" in response
","async def assert_name_without_follow_along(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Verify that the routine name does not contain 'follow along'.
    """"""
    return ""follow along"" not in response.lower()
",True
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_name_present_in_routine,assert_summary_suitability_and_presence,"async def assert_name_present_in_routine(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response contains a section about the name of the routine.
    """"""
    return f""### \""{example['vid_name']}\"" Routine:"" in response
","async def assert_summary_suitability_and_presence(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check that there is a summary section and it's not too long.
    """"""
    if ""**Summary:**"" not in response:
        return False
    summary_content = response.split(""**Summary:**"")[-1]
    summary_sentences = summary_content.split(""."")
    return (
        0 < len(summary_sentences) <= 3
    )  # Assumes a couple of sentences can mean two or three.
",False
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_name_present_in_routine,assert_equipment_section_availability,"async def assert_name_present_in_routine(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response contains a section about the name of the routine.
    """"""
    return f""### \""{example['vid_name']}\"" Routine:"" in response
","async def assert_equipment_section_availability(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Verify that the response contains a section listing the necessary equipment.
    """"""
    return ""**Equipment Needed:**"" in response
",False
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_name_present_in_routine,assert_post_exercise_repetitions,"async def assert_name_present_in_routine(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response contains a section about the name of the routine.
    """"""
    return f""### \""{example['vid_name']}\"" Routine:"" in response
","async def assert_post_exercise_repetitions(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check that the number of repetitions or the time is placed after the exercise name.
    """"""
    # Typically, this can be achieved by pattern matching, but we assume ask_llm is a fallback.
    return not any(
        exercise_time in desc
        for exercise_time in response.split(""\n"")
        if ""("" in exercise_time
        for desc in response.split(""\n"")
        if "":"" in desc
    )
",True
"The following text delimited by three backticks is a text of a follow-along ""{vid_name}"" :
```
{vid_text}
```

Please split it into exercises.
Start with the name of the routine. If the name contains ""follow along"" words, remove it.
Then add a summary section that describes the routine and tells who is it good for. The summary shouldn't be longer than a couple of sentences.
Then add a section about the equipment needed to follow the routine.
Put the number of repetitions or the time after the exercise name, don't add it to the exercise description.
If the exercise is on the right side and on the left side don't repeat it twice in the list, just put ""on each side"" after the number of repetitions or time.
Don't add any text below the exercises list.
The result should be in markdown format
If the text doesn't contain a follow-along routine that one can split into exercises say so.
Example output:
# 5 Minute Morning Mobility Routine

## Summary
This five-minute morning mobility routine is ideal for waking up your body and increasing flexibility. The routine targets various body parts and includes a mixture of stretches and transitions. It's perfect for those looking to improve mobility, flexibility, and start their day feeling energized.

## Equipment 

- Gymnastic rings
- Resistance band (optional)

## Exercises

### Transition from Pike to Squat (5 repetitions): 
- Start in a pike position.
- Transition to a squat, breathing out on the way up and in on the way down.
- Attempt to go as deep as possible into both the pike and squat.

### Pike Rotations (5 repetitions on each side): 
- After the fifth rep of the pike to squat transition, start the rotations.
- Reach round to either side and pause briefly.
- Aim for a stretch in the lower back.


",The provided text does not contain a follow-along routine that one can split into exercises. It is a description of a 60-minute total body strength workout that includes the structure of the workout rather than specific exercises and their details.,assert_name_present_in_routine,assert_deduplication_side_exercises,"async def assert_name_present_in_routine(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check if the response contains a section about the name of the routine.
    """"""
    return f""### \""{example['vid_name']}\"" Routine:"" in response
","async def assert_deduplication_side_exercises(
    example: dict, formatted_prompt: str, response: str
) -> bool:
    """"""
    Check that exercises performed on both sides mention 'on each side' without repetition in the list.
    """"""
    return ""on each side"" in response and response.count(
        ""on each side""
    ) == response.count(""("")
",False
