prompt,example,response,version,model
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for tech enthusiasts audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 11 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Exploring the potential of vertical farming in urban areas.

TWITTER THREAD:","{'number_of_tweets': 11, 'text': 'Exploring the potential of vertical farming in urban areas.', 'word_count': 90, 'target_audience': 'tech enthusiasts', 'language': 'English'}","1/11 As cities expand and traditional farming ground diminishes, humans are turning to innovative solutions to feed the world. One of the most promising: vertical farming. It's high-tech, efficient and ideal for urban areas.

2/11 Vertical farming is the practice of cultivating plants in vertically stacked layers, typically using hydroponics, aeroponics or aquaponics. Imagine a skyscraper filled with nothing but plant life, that's modern agriculture!

3/11 Unlike traditional farming, vertical farming isn't affected by weather conditions, pests, or the seasons. This means fresh produce all year round. 

4/11 Vertical farms use up to 95% less water compared to conventional farming. This accelerates growth and provides consistent harvests, a revolutionary aspect in agriculture.

5/11 Not only does vertical farming hold the key to constant, fresh produce—it also minimizes carbon footprints. These farms happen indoors, reducing the need for lengthy and pollutant-heavy transport. 

6/11 Vertical farming eliminates the use of harmful pesticides and fertilizers, offering a healthier alternative. This method ensures that the produce is organic, cleaner and safer to eat.

7/11 The vertical setup maximizes space usage, a critical aspect especially in urban areas. What was once a limitation- lack of arable land- is now an opportunity for fruitful skyscrapers.

8/11 Vertical farming has potential to support local economies. Bringing agriculture back to urban areas yields job creation for locals. 

9/11 It also ensures food security in urban settings. Growing populations in cities need a reliable source of food. Vertical farming might just be the solution.

10/11 There are challenges, of course. Startup costs, energy consumption, technology reliance. But the potential benefits vastly overshadow the obstacles.

11/11 From incredible efficiency to supporting urban growth, vertical farming is a game-changer in urban agriculture. It treads a new path in farming that is both ecologically and economically sustainable. 11/11",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for tech enthusiasts audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 11 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Exploring the potential of vertical farming in urban areas.

TWITTER THREAD:","{'number_of_tweets': 11, 'text': 'Exploring the potential of vertical farming in urban areas.', 'word_count': 90, 'target_audience': 'tech enthusiasts', 'language': 'English'}","Tweet 1/11: 🌱 Urban agriculture has been gaining momentum, and one of the most promising innovations is vertical farming. This method of cultivating crops in vertically stacked layers offers numerous benefits. Let's take a closer look at the potential of vertical farming in urban areas! #verticalfarming #urbanagriculture

Tweet 2/11: 🏢 Vertical farming allows us to maximize land utilization as it relies on the efficient use of vertical space. By growing crops in multi-level structures, we can produce a significant amount of food in a smaller footprint. This is particularly valuable in densely populated urban areas where land is scarce. #sustainablefarming #landutilization

Tweet 3/11: 💧 Another advantage of vertical farming is its water efficiency. Through the use of hydroponics or aeroponics, crops can be grown with up to 90% less water compared to traditional soil-based farming methods. This reduction in water usage is crucial for sustainable agriculture, especially in regions experiencing water scarcity. #waterconservation #hydroponics

Tweet 4/11: 🌞 Vertical farms also have the advantage of optimizing light exposure. By using LED lights, farmers can tailor the lighting conditions for each crop, promoting growth and optimizing energy consumption. The controlled environment further minimizes the need for pesticides and herbicides, resulting in cleaner and more eco-friendly produce. #LEDlights #sustainableagriculture

Tweet 5/11: 🌿 Vertical farming enhances food security by reducing transportation distances. With crops grown directly in urban areas, the time and energy required to transport produce from rural farms are significantly reduced. This localized approach to farming decreases dependence on external food sources and minimizes carbon emissions associated with long-distance transportation. #foodsecurity #localfarming

Tweet 6/11: 📈 The scalability of vertical farming is a game-changer. As technology continues to improve, vertical farms can be built higher and accommodate more levels, increasing production capacity. This scalability enables urban agriculture to meet the growing demands of a rapidly expanding population while using minimal land and resources. #scalability #sustainabledevelopment

Tweet 7/11: 🌍 Moreover, vertical farming offers the potential for year-round crop production. With controlled conditions, such as temperature, humidity, and lighting, urban farmers can grow crops regardless of the season. This helps reduce reliance on imported food and ensures a steady supply of fresh produce throughout the year. #yearroundproduction #foodsupply

Tweet 8/11: 🏭 In addition to the environmental benefits, vertical farming can also have a positive social impact. By bringing agriculture into urban areas, it creates job opportunities, promotes local food networks, and empowers communities to take control of their food sources. Moreover, vertical farms can serve as educational hubs, inspiring future generations to embrace sustainable farming practices. #communityimpact #urbanagriculture

Tweet 9/11: 🌱 While vertical farming presents numerous advantages, challenges still need to be addressed. Initial setup costs can be high, and energy consumption remains a concern. However, ongoing research and technological advancements are steadily making vertical farming more efficient, cost-effective, and sustainable. The potential for this innovative approach to revolutionize urban agriculture is undeniably exciting. #sustainability #innovation

Tweet 10/11: 🌿 In conclusion, vertical farming has the potential to revolutionize urban agriculture by maximizing land utilization, reducing water usage, optimizing energy consumption, enhancing food security, and creating job opportunities. As technology continues to advance, vertical farming could play a vital role in building a more sustainable and resilient food system for urban areas. #sustainablefuture #urbanfarming

Tweet 11/11: 🌍 Let's embrace vertical farming as an innovative solution that combines technology and agriculture to address the challenges of a rapidly urbanizing world. By investing in and supporting the development of vertical farming, we can create a future where fresh, nutritious food is readily available to urban communities, while minimizing our environmental footprint. #urbanfoodrevolution #futureofagriculture",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for tech enthusiasts audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 11 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Understanding the basics of quantum computing.

TWITTER THREAD:","{'number_of_tweets': 11, 'text': 'Understanding the basics of quantum computing.', 'word_count': 90, 'target_audience': 'tech enthusiasts', 'language': 'English'}","1/11: Welcome to the fascinating world of Quantum Computing! What if computers could process information infinitely faster than today's fastest machines? Let's dive in.

2/11: While classical computers process info as bits (0s and 1s), Quantum computers use quantum bits or ""qubits"". This lets them hold and process vast amounts of data simultaneously.

3/11: Qubits are special because they exploit two core principles of quantum physics: superposition and entanglement.

4/11: Superposition means a qubit can exist as 0, 1, or both states at once, drastically multiplying computational power.

5/11: Entanglement lets qubits influence each other’s states instantaneously, regardless of distance, implying faster operations.

6/11: Imagine searching a vast database in seconds instead of years, or cracking highly complex cryptographic codes effortlessly. That's the potential power of quantum computers.

7/11: However, maintaining qubits' delicate states is challenging, as they're easily disturbed by their environment. This is known as quantum decoherence.

8/11: To combat decoherence, tech giants like Google and IBM are working tirelessly developing quantum error correction algorithms.

9/11: Quantum computing promises advances in fields like AI, cryptography, medicine, and more. The limit? Only our imagination!

10/11: But hold your horses! Quantum supremacy is still years away. It's a very exciting and challenging journey.

11/11: So there you have it - a quick guide to the complex, intriguing field of Quantum Computing. Here's to pioneering the way to the technology of tomorrow!",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for tech enthusiasts audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 11 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: Understanding the basics of quantum computing.

TWITTER THREAD:","{'number_of_tweets': 11, 'text': 'Understanding the basics of quantum computing.', 'word_count': 90, 'target_audience': 'tech enthusiasts', 'language': 'English'}","Tweet 1/11: 🌌 Dive into the fascinating world of quantum computing! 🧠💻 Quantum computing leverages the principles of quantum mechanics to revolutionize computation. Forget binary - qubits can exist in multiple states simultaneously. This enables exponentially faster calculations and opens new frontiers of possibilities. Let's explore the basics of this mind-bending technology! #QuantumComputing #TechEnthusiasts

Tweet 2/11: Quantum Supremacy: One of the key milestones in quantum computing. When a quantum computer outperforms even the most powerful classical supercomputers. It highlights the immense computational power and potential of quantum systems. Who will achieve it first? 🚀 #QuantumSupremacy #TechEnthusiasts

Tweet 3/11: Quantum bits, or qubits, are the building blocks of quantum computers. Unlike classical bits which are either 0 or 1, qubits can exist in a superposition of both states simultaneously. This unique property gives quantum computers their edge, increasing their computational capabilities exponentially. 🌟 #Qubits #QuantumComputing #TechEnthusiasts

Tweet 4/11: Quantum entanglement is a mind-boggling phenomenon where qubits become deeply interconnected, regardless of their physical distance. Changing the state of one entangled qubit immediately affects the state of the other, no matter the distance. This property enables powerful algorithms such as teleportation and secure communication. 🚀📡 #QuantumEntanglement #TechEnthusiasts

Tweet 5/11: Quantum gates are the equivalent of classical logic gates in quantum computing. They manipulate the state of qubits, enabling operations like flips, rotations, and entanglement. By combining different quantum gates, complex quantum algorithms can be implemented. 💡🔀 #QuantumGates #QuantumComputing #TechEnthusiasts

Tweet 6/11: Quantum algorithms are designed to leverage the unique properties of quantum computers, solving problems exponentially faster than classical computers. One example is Shor's algorithm, which can factor large numbers in a fraction of the time compared to classical algorithms. It has huge implications for cryptography and cybersecurity. 📊🔒 #QuantumAlgorithms #ShorsAlgorithm #TechEnthusiasts

Tweet 7/11: Quantum error correction is key in mitigating the effects of noise and decoherence in quantum systems. Noise disrupts the fragile quantum states of qubits, leading to errors in computations. Error correction codes, such as the surface code, help detect and correct these errors, ensuring the reliability of quantum computations. 🔐✅ #QuantumErrorCorrection #SurfaceCode #TechEnthusiasts

Tweet 8/11: Quantum annealing is a specialized approach to quantum computing that focuses on optimization problems. By harnessing quantum fluctuations, annealers can explore vast solution landscapes and find optimal or near-optimal solutions efficiently. Applications include logistics, finance, and even drug discovery. 🛠💰💊 #QuantumAnnealing #Optimization #TechEnthusiasts

Tweet 9/11: Quantum machine learning combines the power of quantum computing with the algorithms and techniques of machine learning. Quantum computers offer the potential to accelerate complex computations in areas like pattern recognition and optimization, enabling breakthroughs in artificial intelligence. 🧠🔀🤖 #QuantumMachineLearning #AI #TechEnthusiasts

Tweet 10/11: Quantum key distribution ensures secure communication by using the principles of quantum mechanics to exchange encryption keys. Unlike classical encryption methods that can be vulnerable to attacks, quantum key distribution provides provable security against eavesdropping. It has the potential to revolutionize cybersecurity. 🔐🔒🔓 #QuantumKeyDistribution #Cybersecurity #TechEnthusiasts

Tweet 11/11: Quantum computing holds immense potential, but it's still in its early stages. Challenges like noise, scalability, and error correction need to be addressed to realize its full power. However, as researchers continue to push the boundaries, we inch closer to a future where quantum computers unleash powerful capabilities, transforming industries and solving complex problems. 🌌💡✨ #QuantumComputing #FutureTech #TechEnthusiasts",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for new moms audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 6 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The importance of bees in our ecosystem.

TWITTER THREAD:","{'number_of_tweets': 6, 'text': 'The importance of bees in our ecosystem.', 'word_count': 90, 'target_audience': 'new moms', 'language': 'English'}","1/6 Bees are often overlooked, but they're the heroes in our ecosystem. Their primary task? Pollination! Helping us maintain the diversity of plant species by transferring pollen grains from male to female flower parts. 

2/6 But bees do more than just pollinate. Their honey is rich in vitamins and antioxidants, helping boost our immune system. Even bee pollen has nutritional & medicinal properties, once called “life giving dust” by ancient Greeks!

3/6 Unfortunately, our buzzy friends are in danger. Pesticides, habitat loss, diseases, and climate change all contribute to the alarming decrease in bee populations worldwide. Their plight threatens our biodiversity.

4/6 We can play a role in bringing them back! By planting bee-friendly plants, reducing pesticide use, setting up bee hotels, or even adopting a hive, we are helping to repair their environment.

5/6 So next time you relish the sweetness of honey or admire a colorful flowerbed, remember the bees that made it possible. Let's give a nod to these extraordinary insects, the unsung heroes of our ecosystem.

6/6 This is a call to action. Let's all unite and commit to protecting these tiny yet mighty creators. Share to spread awareness about the vital role of bees in keeping our planet healthy. Commit to Becoming a Bee Defender! 6/6",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for new moms audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 6 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The importance of bees in our ecosystem.

TWITTER THREAD:","{'number_of_tweets': 6, 'text': 'The importance of bees in our ecosystem.', 'word_count': 90, 'target_audience': 'new moms', 'language': 'English'}","🐝 Discover the incredible value bees bring to our ecosystem! They are nature's pollinators, helping to fertilize plants and ensure food production 🌼 Did you know that 1/3 of the food we eat depends on bees? Without them, our diets and biodiversity would suffer. Let's protect these marvelous creatures and their habitats by avoiding the use of harmful pesticides and planting bee-friendly flowers in our gardens. Together, we can ensure the well-being of bees and sustain the balance of our planet! 🌍 #SaveTheBees 1/6",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for general audience audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 4 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The future of electric vehicles and their impact on the industry.

TWITTER THREAD:","{'number_of_tweets': 4, 'text': 'The future of electric vehicles and their impact on the industry.', 'word_count': 90, 'target_audience': 'general audience', 'language': 'English'}","1. Electric vehicles are steering us towards a cleaner, more sustainable future. They're not just a novelty anymore; they're the future, significantly reducing carbon emissions and our dependence on fossil fuels. 1/4

2. With advancements in battery technology, the range anxiety that once plagued potential EV buyers is swiftly disappearing. Enhanced battery lives are making electric vehicles a practical choice for long distance traveling. 2/4

3. However, the widespread adoption of EVs is not without challenges. Infrastructure needs to catch up with the change, and the mining of rare minerals for batteries raises environmental concerns. 3/4

4. As we embark on this electric journey, it is essential to balance innovation with sustainability. The future of EVs is bright, but its true potential will be unlocked only when these challenges are addressed. 4/4",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for general audience audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 4 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: The future of electric vehicles and their impact on the industry.

TWITTER THREAD:","{'number_of_tweets': 4, 'text': 'The future of electric vehicles and their impact on the industry.', 'word_count': 90, 'target_audience': 'general audience', 'language': 'English'}","1/4 Are electric vehicles (EVs) the future of transportation? With advancements in technology and growing concerns about climate change, EVs are on the rise. They offer a cleaner and more sustainable alternative to traditional vehicles, reducing carbon emissions and dependence on fossil fuels. Additionally, EVs have lower operating costs and require less maintenance. As more countries and companies invest in EV infrastructure, the market is expected to grow exponentially in the coming years, transforming the automotive industry. Get ready for a greener future on wheels! #ElectricVehicles #CleanEnergy",4,gpt-3
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for college students audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 1 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: A beginner's guide to personal finance and saving.

TWITTER THREAD:","{'number_of_tweets': 1, 'text': ""A beginner's guide to personal finance and saving."", 'word_count': 90, 'target_audience': 'college students', 'language': 'English'}","Starting college is a significant step towards financial independence. With the right approach to personal finance, saving can become less daunting. Learn to manage your money efficiently, differentiate between needs & wants, and establish a habit of saving early. Remember, where knowledge grows, so does wealth. Financial literacy is your ticket to a secure future. 1/1",4,gpt-4
"system:
You are an expert chatbot on Twitter.

Craft each tweet to be concise, staying within the limit of 90 words per tweet, while effectively conveying the essence of the context for college students audience. 

Write your thread in English.

DO NOT Use more words than limit provided.

REMOVE hashtags. DO NOT USE THEM.

REMOVE emojis nor icons.

user:
Your main goal is to transform the given Context into a compelling Twitter thread. Condense the content from the context into a series of well-crafted tweets that capture the main ideas and highlights. Feel free to rephrase sentences to simplify complex information. 

Generate a maximum of 1 tweets.

The main tweet should have an engaging hook but subtle and dense words.

Maintain a coherent narrative across the tweets to ensure that the thread tells a complete story or provides valuable insights.

The aim is to create an engaging and informative Twitter thread that encourages interaction and sharing among the target audience.

Validate that you do not use hashtags, emojis or icons.

Final step : finish each tweet with the number of the tweet on the total. For example, if it is the first tweet of a series of 5, write ""1/5"" at the end of the message.

CONTEXT: A beginner's guide to personal finance and saving.

TWITTER THREAD:","{'number_of_tweets': 1, 'text': ""A beginner's guide to personal finance and saving."", 'word_count': 90, 'target_audience': 'college students', 'language': 'English'}","💰 Personal finance can feel overwhelming, but it's an essential skill to master as a college student. Here's a beginner's guide to help you get started on managing your money and saving for the future. #Finance101 

1/1",4,gpt-3
