func A,func B,A -> B,asked_LLM
"async def assert_no_hashtags(example: dict, prompt: str, response: str):
    """"""
    Check that tweets do not contain hashtags.
    """"""
    return ""#"" not in response
","async def assert_no_hashtags_or_emojis_1(example: dict, prompt: str, response: str):
    """"""
    Check that the response does not include any hashtags or emojis.
    """"""
    return (
        ""#"" not in response
        and """" not in response
        and ""'"" not in response
        and "" "" not in response
        and """" not in response
        and ""'"" not in response
        and "" "" not in response
        and ""d"" not in response
        and """" not in response
        and ""'✈"" not in response
        and ""'"" not in response
        and "" "" not in response
        and """" not in response
    )
",True,True
"async def assert_no_hashtags(example: dict, prompt: str, response: str):
    """"""
    Check that tweets do not contain hashtags.
    """"""
    return ""#"" not in response
","async def assert_no_hashtags_or_emojis_2(example: dict, prompt: str, response: str):
    """"""
    Confirm the response does not contain hashtags, emojis, or icons.
    """"""
    if ""#"" in response or any(char in emoji.EMOJI_DATA for char in response):
        return False
    return True
",True,True
"async def assert_thread_format(example: dict, prompt: str, response: str):
    """"""
    Check that the response is formatted as a Twitter thread, not as a single block of text.
    """"""
    return (
        response.strip().startswith(""TWITTER THREAD:\n\nTweet 1:"")
        and ""\nTweet "" in response
    )
","async def assert_proper_thread_start(example: dict, prompt: str, response: str):
    """"""
    Check that the response for the Twitter thread starts correctly with 'TWITTER THREAD:'.
    """"""
    return response.strip().startswith(""TWITTER THREAD:"")
",True,True
"async def assert_response_length_within_limit(
    example: dict, prompt: str, response: str
):
    """"""
    Check that the response does not exceed the specified word count limit for each tweet.
    """"""
    word_count_limit = example.get(""word_count"", 0)
    tweets = response.split(""Tweet"")[
        1:
    ]  # Assuming each tweet starts with 'Tweet' followed by a number
    for tweet in tweets:
        tweet_word_count = len(tweet.split())
        if tweet_word_count > word_count_limit:
            return False
    return True
","async def assert_adherence_to_word_limit(example: dict, prompt: str, response: str):
    """"""
    Check that each tweet in the response stays within the word limit per tweet.
    """"""
    word_count = example.get(""word_count"")
    response_tweets = response.strip().split(""\n\n"")

    for tweet in response_tweets:
        # Remove tweet indicators(e.g., ""Tweet 1:"") before counting words
        tweet_text = tweet.split("":"", 1)[1] if "":"" in tweet else tweet
        if len(tweet_text.split()) > word_count:
            return False
    return True
",True,True
"async def assert_adherence_to_word_limit(example: dict, prompt: str, response: str):
    """"""
    Check that each tweet in the response stays within the word limit per tweet.
    """"""
    word_count = example.get(""word_count"")
    response_tweets = response.strip().split(""\n\n"")

    for tweet in response_tweets:
        # Remove tweet indicators(e.g., ""Tweet 1:"") before counting words
        tweet_text = tweet.split("":"", 1)[1] if "":"" in tweet else tweet
        if len(tweet_text.split()) > word_count:
            return False
    return True
","async def assert_response_length_within_limit(
    example: dict, prompt: str, response: str
):
    """"""
    Check that the response does not exceed the specified word count limit for each tweet.
    """"""
    word_count_limit = example.get(""word_count"", 0)
    tweets = response.split(""Tweet"")[
        1:
    ]  # Assuming each tweet starts with 'Tweet' followed by a number
    for tweet in tweets:
        tweet_word_count = len(tweet.split())
        if tweet_word_count > word_count_limit:
            return False
    return True
",True,True
"async def assert_maximum_five_tweets(example: dict, prompt: str, response: str):
    """"""
    Check that the response is presented as a thread with a maximum of 5 tweets.
    """"""
    return (
        len(response.strip().split(""Tweet"")) <= 6
    )  # We add 1 because split starts with an empty string
","async def assert_correct_number_of_tweets(example: dict, prompt: str, response: str):
    """"""
    Ensure the response contains the specified number of tweets.
    """"""
    number_of_tweets = example.get(""number_of_tweets"")
    response_tweets = response.strip().split(
        ""\n\n""
    )  # Assuming tweets are separated by double newlines
    return len(response_tweets) == number_of_tweets
",True,True
"async def assert_correct_tweet_format(
    example: dict, prompt: str, response: str
) -> bool:
    """"""
    Check that each tweet in the response ends with a tweet number over the total (e.g., '1/5').
    This function assumes that each tweet is separated by a newline character.
    """"""
    tweets = response.strip().split(""\n"")
    number_of_tweets = example[""number_of_tweets""]
    is_correct_format = True
    for index, tweet in enumerate(tweets, start=1):
        if not tweet.endswith(f""{index}/{number_of_tweets}""):
            is_correct_format = False
            break
    return is_correct_format and len(tweets) == number_of_tweets
","async def assert_thread_start_indicator(example: dict, prompt: str, response: str):
    """"""
    Check that the response includes a thread starting indicator such as 'Thread:' or '1/' to represent the beginning of a tweet thread.
    """"""
    return ""Thread:"" in response or ""1/"" in response
",True,True
"async def assert_mentions_used(example: dict, prompt: str, response: str):
    """"""
    Check that the response uses mentions to enhance visibility and engagement.
    """"""
    return ""@"" in response
","async def assert_inclusion_of_mentions(example: dict, prompt: str, response: str):
    """"""
    Check that the response includes mentions (@usernames) to improve thread visibility and engagement.
    """"""
    tweets = response.split(""\n"")
    return any(""@"" in tweet for tweet in tweets if tweet.startswith(""Tweet""))
",True,True
"async def assert_coherent_narrative(example: dict, prompt: str, response: str):
    """"""
    Ensure the response maintains a coherent narrative across the tweets.
    """"""
    question = ""Does the response maintain a coherent narrative across the tweets?""
    return await ask_llm(prompt, response, question)
","async def assert_coherent_narrative_thread(example: dict, prompt: str, response: str):
    """"""
    Make a qualitative assessment to ensure each tweet contributes to a coherent narrative in the thread.
    """"""
    question = ""Does each tweet contribute to a coherent narrative, ensuring the Twitter thread tells a complete story or provides valuable insights?""
    return await ask_llm(prompt, response, question)
",True,True
"async def assert_coherent_narrative_thread(example: dict, prompt: str, response: str):
    """"""
    Make a qualitative assessment to ensure each tweet contributes to a coherent narrative in the thread.
    """"""
    question = ""Does each tweet contribute to a coherent narrative, ensuring the Twitter thread tells a complete story or provides valuable insights?""
    return await ask_llm(prompt, response, question)
","async def assert_coherent_narrative(example: dict, prompt: str, response: str):
    """"""
    Ensure the response maintains a coherent narrative across the tweets.
    """"""
    question = ""Does the response maintain a coherent narrative across the tweets?""
    return await ask_llm(prompt, response, question)
",True,True
